total plan length,run success,costs,time measures,pick counts,deliver counts,domain name,problem name,iteration time,transitions per iteration,planner name,search engine name,heuristic name
180,TRUE,"[923, 2398, 4393, 6080, 7602, 9048, 10480, 11960, 13199, 14576, 15773, 17400, 18588, 20153, 21691, 22775, 24260, 25814]","[120.50002765655518, 241.00973773002625, 361.5105514526367, 482.0261719226837, 602.5574221611023, 723.0734088420868, 843.5898129940033, 964.1211044788361, 1084.636690378189, 1205.1679792404175, 1325.6992242336273, 1446.2164080142975, 1566.7368967533112, 1687.2685706615448, 1807.8068277835846, 1928.3451812267303, 2048.891666173935, 2169.423669576645]","[7, 10, 12, 15, 17, 21, 22, 23, 23, 23, 25, 26, 29, 30, 30, 32, 33, 37]","[0, 0, 0, 3, 7, 11, 14, 16, 16, 19, 19, 21, 22, 22, 23, 26, 26, 27]",Cars,Cars 2,120,10,Search Based,Greedy,None
60,TRUE,"[161, 389, 683, 1008, 1495, 1924]","[120.34707593917847, 240.84979367256165, 361.3636815547943, 481.8796968460083, 602.3800508975983, 722.885504245758]","[4, 7, 12, 14, 17, 22]","[2, 4, 6, 9, 12, 14]",MotorCycles and Letters,MotorCycles and Letters 1,120,10,Search Based,Greedy,None
60,TRUE,"[173, 443, 695, 967, 1363, 1765]","[120.36601400375366, 240.86642861366272, 361.3663730621338, 481.88371443748474, 602.3944661617279, 722.902529001236]","[3, 7, 12, 14, 17, 21]","[1, 3, 6, 9, 12, 14]",MotorCycles and Letters,MotorCycles and Letters 1,120,10,Search Based,Greedy,None
90,TRUE,"[118, 243, 346, 531, 636, 816, 1222, 1707, 2084]","[120.53125071525574, 241.0316126346588, 361.5472376346588, 482.062894821167, 602.57932305336, 723.0988714694977, 843.6144936084747, 964.1332731246948, 1084.6492910385132]","[3, 3, 6, 9, 14, 15, 22, 30, 32]","[1, 2, 3, 4, 5, 6, 9, 11, 14]",Rail System Factory,Rail System Factory 1,120,10,Search Based,Greedy,None
90,TRUE,"[130, 355, 473, 661, 762, 916, 1316, 1856, 2296]","[120.51754832267761, 241.03320217132568, 361.54996633529663, 482.0730125904083, 602.5944836139679, 723.1105306148529, 843.6261630058289, 964.1460611820221, 1084.6773402690887]","[3, 10, 14, 17, 20, 26, 30, 38, 42]","[1, 2, 3, 5, 7, 8, 9, 10, 12]",Rail System Factory,Rail System Factory 1,120,10,Search Based,Greedy,None
50,TRUE,"[208, 582, 1234, 2110, 3093]","[120.51635503768921, 241.02065515518188, 361.5260980129242, 482.04252576828003, 602.5433077812195]","[3, 4, 4, 4, 5]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 1,120,10,Search Based,UCT,None
50,TRUE,"[237, 727, 1436, 2426, 3544]","[120.52610158920288, 241.04164242744446, 361.5446231365204, 482.05033683776855, 602.5603160858154]","[3, 4, 4, 4, 6]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 1,120,10,Genetic,None,None
50,TRUE,"[272, 767, 1424, 2379, 3481]","[120.50762295722961, 241.0102560520172, 361.5258438587189, 482.04149889945984, 602.5414998531342]","[1, 3, 3, 3, 5]","[0, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 1,120,10,Genetic,None,None
50,TRUE,"[235, 651, 1392, 2305, 3434]","[120.49997115135193, 241.01562547683716, 361.5155942440033, 482.03121638298035, 602.570305109024]","[2, 4, 4, 4, 6]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 1,120,10,Genetic,None,None
50,TRUE,"[242, 773, 1474, 2433, 3502]","[120.5003981590271, 241.03161001205444, 361.5316073894501, 482.04726672172546, 602.5472664833069]","[2, 3, 3, 3, 4]","[1, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 1,120,10,Genetic,None,None
50,TRUE,"[362, 1127, 2079, 3038, 4340]","[120.50030565261841, 241.00030255317688, 361.5003077983856, 482.01593112945557, 602.5471403598785]","[3, 4, 4, 4, 6]","[1, 1, 2, 2, 3]",Trucks and Drones,Trucks and Drones 2,120,10,Genetic,None,None
50,TRUE,"[312, 975, 1804, 2933, 4220]","[120.51562547683716, 241.0312738418579, 361.53121280670166, 482.0472707748413, 602.5783910751343]","[3, 4, 4, 4, 6]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 2,120,10,Genetic,None,None
50,TRUE,"[333, 991, 1795, 2892, 4109]","[120.5144739151001, 241.03007650375366, 361.54572224617004, 482.0461175441742, 602.5617008209229]","[3, 4, 4, 4, 6]","[2, 2, 2, 2, 3]",Trucks and Drones,Trucks and Drones 2,120,10,Genetic,None,None
50,TRUE,"[358, 1010, 1783, 2763, 4042]","[120.50003170967102, 241.00197911262512, 361.50198221206665, 482.01757645606995, 602.5351846218109]","[3, 4, 4, 4, 6]","[1, 2, 2, 2, 2]",Trucks and Drones,Trucks and Drones 2,120,10,Genetic,None,None
130,TRUE,"[907, 3036, 5756, 9037, 12473, 16020, 19779, 23707, 27905, 32337, 36962, 41359, 45972]","[120.5000069141388, 241.0027208328247, 361.53394293785095, 482.054655790329, 603.3827867507935, 723.9026758670807, 844.4495508670807, 964.9655616283417, 1085.49756026268, 1206.0288395881653, 1326.5628142356873, 1447.094486951828, 1567.6413638591766]","[9, 11, 11, 12, 14, 15, 17, 19, 21, 22, 23, 24, 25]","[0, 1, 3, 4, 5, 6, 6, 8, 8, 9, 9, 10, 12]",Trucks and Drones,Trucks and Drones 3,120,10,Genetic,None,None
130,TRUE,"[848, 2831, 5348, 8347, 11472, 14482, 17737, 21245, 24891, 28879, 32822, 36589, 40597]","[120.52482318878174, 241.02964854240417, 361.54527759552, 482.06090235710144, 602.5804092884064, 723.1116561889648, 843.6330494880676, 964.1690082550049, 1084.6916246414185, 1205.2091555595398, 1325.7560284137726, 1446.3029010295868, 1566.8352880477905]","[7, 11, 12, 15, 15, 17, 19, 22, 24, 25, 27, 27, 27]","[1, 3, 4, 5, 7, 8, 10, 10, 11, 12, 12, 13, 15]",Trucks and Drones,Trucks and Drones 3,120,10,Genetic,None,None
130,TRUE,"[902, 3045, 5869, 9272, 12742, 16116, 19703, 23536, 27442, 31672, 35842, 39773, 43760]","[120.52136564254761, 241.02182865142822, 361.52337527275085, 482.0545926094055, 602.5858798027039, 723.1038239002228, 843.624106168747, 964.1397330760956, 1084.6709530353546, 1205.2178609371185, 1325.7647335529327, 1446.3002617359161, 1566.834234237671]","[9, 10, 10, 12, 14, 16, 19, 20, 22, 24, 27, 28, 28]","[0, 1, 2, 4, 5, 6, 8, 9, 10, 10, 12, 13, 14]",Trucks and Drones,Trucks and Drones 3,120,10,Genetic,None,None
130,TRUE,"[883, 2913, 5365, 8178, 11163, 14278, 17572, 21002, 24427, 27982, 31565, 34986, 38653]","[120.50001263618469, 241.00626301765442, 361.5109169483185, 482.02654910087585, 602.5577943325043, 723.073812007904, 843.5921497344971, 964.1178600788116, 1084.649141073227, 1205.1960146427155, 1325.7391474246979, 1446.2723350524902, 1566.8192019462585]","[8, 10, 14, 17, 19, 19, 21, 24, 24, 25, 27, 28, 29]","[0, 3, 4, 6, 7, 8, 9, 12, 13, 14, 14, 15, 16]",Trucks and Drones,Trucks and Drones 3,120,10,Genetic,None,None
50,TRUE,"[360, 796, 1309, 1906, 2410]","[120.34414505958557, 240.8445291519165, 361.3601551055908, 481.86012148857117, 602.3757796287537]","[4, 6, 10, 11, 13]","[2, 2, 6, 9, 11]",Cars,Cars 1,120,10,Genetic,None,None
50,TRUE,"[256, 837, 1177, 2005, 2533]","[120.35937476158142, 240.87500309944153, 361.3905940055847, 481.875004529953, 602.4062519073486]","[3, 5, 8, 11, 12]","[2, 4, 5, 7, 9]",Cars,Cars 1,120,10,Genetic,None,None
50,TRUE,"[337, 877, 1230, 1841, 2376]","[120.37500023841858, 240.89062929153442, 361.3906238079071, 481.8753583431244, 602.3753581047058]","[3, 5, 7, 11, 13]","[2, 4, 6, 7, 10]",Cars,Cars 1,120,10,Genetic,None,None
50,TRUE,"[296, 735, 1167, 1939, 2516]","[120.35938262939453, 240.85937571525574, 361.3593497276306, 481.8593804836273, 602.3597781658173]","[2, 4, 7, 9, 13]","[2, 2, 5, 6, 9]",Cars,Cars 1,120,10,Genetic,None,None
180,TRUE,"[1257, 2811, 4371, 6041, 7464, 8646, 9905, 11300, 12464, 13851, 14950, 16092, 17113, 17841, 19019, 20113, 20817, 21969]","[120.50036096572876, 241.00156688690186, 361.5015375614166, 482.0172097682953, 602.5327956676483, 723.0335841178894, 843.5648283958435, 964.0917160511017, 1084.6085405349731, 1205.1241707801819, 1325.6553902626038, 1446.1866652965546, 1566.7022976875305, 1687.2194623947144, 1807.7445254325867, 1928.2601883411407, 2048.792957305908, 2169.32422375679]","[10, 11, 15, 18, 20, 23, 25, 26, 28, 30, 32, 34, 34, 36, 37, 38, 38, 41]","[2, 3, 8, 12, 15, 19, 22, 22, 25, 27, 29, 31, 33, 34, 34, 36, 38, 39]",Cars,Cars 2,120,10,Genetic,None,None
180,TRUE,"[1177, 2748, 4572, 5946, 7577, 8783, 10114, 10923, 12329, 13332, 14737, 15925, 16822, 17903, 19057, 20179, 20861, 21805]","[120.50002837181091, 241.00041556358337, 361.500417470932, 482.01600766181946, 602.5160114765167, 723.0316700935364, 843.5472900867462, 964.0637023448944, 1084.5949532985687, 1205.1262111663818, 1325.6574518680573, 1446.1887044906616, 1566.7199518680573, 1687.2511789798737, 1807.76682639122, 1928.2844014167786, 2048.8156480789185, 2169.3472633361816]","[9, 12, 15, 17, 19, 23, 24, 25, 27, 28, 31, 34, 34, 37, 37, 38, 38, 41]","[1, 4, 8, 13, 15, 19, 22, 24, 25, 27, 28, 29, 33, 33, 35, 37, 38, 39]",Cars,Cars 2,120,10,Genetic,None,None
